id;name;description;points;answer
1;Tuna;Exclusive Research;92123;Paradigm up Handcrafted
2;Fish Wyoming revolutionary;COM;40233;Chips
3;firewall transmit;synthesizing Ergonomic;63132;hub Handmade multi-byte
4;mint Bedfordshire;Direct;20340;orchid
5;enable;transmitter vertical;71742;Visionary syndicate
6;sensor Metal Arkansas;eco-centric;83060;Soap hack optical
7;Refined;multi-byte tangible;58491;5th
8;Accounts Frozen;exploit Frozen;26725;leverage hack
9;stable sensor;deposit Re-engineered;63836;California teal
10;Automotive;Account Soft;57536;blue microchip
